Date,Hour,Country,League,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW
2024-05-09,12:00:00,Dinamarca,DBU Pokalen,Silkeborg,Aarhus,1,0,1x0,17.22,16.58,7.98,2.56,13.72,13.2,6.35,2.04,5.46,5.26,2.53,0.81,1.45,1.4,0.67,0.22,1.66,0.01,0.88
2024-05-09,00:16:00,Mexico,Liga MX,Pachuca,Club America,1,1,1x1,6.93,13.79,13.72,9.1,4.71,9.37,9.32,6.18,1.6,3.18,3.17,2.1,0.36,0.72,0.72,0.48,14.05,0.04,0.45
2024-05-09,22:00:00,Mexico,Liga MX,U.N.A.M. - Pumas,Cruz Azul,0,2,0x2,14.03,8.73,2.72,0.56,18.82,11.71,3.64,0.76,12.63,7.86,2.44,0.51,5.65,3.52,1.09,0.23,0.37,0.01,4.72
2024-05-09,09:30:00,Ucrânia,Premier League,Kolos Kovalivka,Zorya Luhansk,0,1,0x1,21.39,17.44,7.11,1.93,15.55,12.68,5.17,1.41,5.65,4.61,1.88,0.51,1.37,1.12,0.46,0.12,0.96,0.01,0.65
2024-05-09,10:00:00,Egito,Premier League,Ismaily SC,El Dakhleya,1,0,1x0,19.06,4.43,0.52,0.04,27.16,6.32,0.74,0.06,19.35,4.5,0.52,0.04,9.19,2.14,0.25,0.02,0.01,0.01,5.66
2024-05-09,13:00:00,Egito,Premier League,Smouha SC,Masr,1,2,1x2,18.93,14.16,5.3,1.32,17.35,12.98,4.85,1.21,7.95,5.94,2.22,0.55,2.43,1.82,0.68,0.17,0.71,0.01,1.42
2024-05-09,10:30:00,Bélgica,Cup,Union St. Gilloise,Antwerp,1,0,1x0,6.19,7.26,4.25,1.66,9.97,11.68,6.85,2.67,8.03,9.4,5.51,2.15,4.31,5.05,2.96,1.15,2.93,0.15,7.83
2024-05-09,12:00:00,Arábia Saudita,Pro League,Al Riyadh,Al Taawon,0,0,0x0,14.49,20.05,13.88,6.4,7.94,10.98,7.6,3.51,2.17,3.01,2.08,0.96,0.4,0.55,0.38,0.18,5.18,0.01,0.23
2024-05-09,12:00:00,Arábia Saudita,Pro League,Al-Fayha,Al-Fateh,2,2,2x2,7.35,11.88,9.61,5.18,7.3,11.8,9.55,5.15,3.62,5.86,4.74,2.56,1.2,1.94,1.57,0.85,8.01,0.09,1.73
2024-05-09,15:00:00,Arábia Saudita,Pro League,Al Akhdoud,Al-Nassr,2,3,2x3,2.5,7.43,11.05,10.94,1.79,5.32,7.91,7.84,0.64,1.91,2.83,2.81,0.15,0.46,0.68,0.67,34.52,0.1,0.42
2024-05-09,16:00:00,World,UEFA Europa League,Atalanta,Marseille,3,0,3x0,5.2,5.56,2.97,1.06,9.82,10.49,5.6,2.0,9.27,9.9,5.29,1.88,5.83,6.23,3.33,1.19,2.1,0.16,12.12
2024-05-09,16:00:00,World,UEFA Europa League,Bayer Leverkusen,AS Roma,2,2,2x2,5.05,3.77,1.41,0.35,11.31,8.45,3.16,0.79,12.65,9.46,3.53,0.88,9.44,7.05,2.64,0.66,0.6,0.07,18.73
2024-05-09,19:00:00,World,CONMEBOL Sudamericana,Belgrano Cordoba,Delfin SC,1,1,1x1,16.75,6.91,1.42,0.2,23.02,9.49,1.96,0.27,15.82,6.52,1.35,0.18,7.25,2.99,0.62,0.08,0.08,0.01,5.09
2024-05-09,21:00:00,World,CONMEBOL Sudamericana,RB Bragantino,Racing Club,2,1,2x1,14.09,11.83,4.97,1.39,15.78,13.25,5.57,1.56,8.83,7.42,3.12,0.87,3.3,2.77,1.16,0.33,1.04,0.02,2.7
2024-05-09,23:00:00,World,CONMEBOL Sudamericana,Deportivo Garcilaso,Lanus,0,2,0x2,16.5,15.71,7.48,2.37,14.02,13.35,6.35,2.02,5.96,5.67,2.7,0.86,1.69,1.61,0.77,0.24,1.6,0.01,1.1
2024-05-09,19:00:00,World,CONMEBOL Libertadores,San Lorenzo,Independiente del Valle,2,0,2x0,21.01,11.77,3.29,0.62,21.01,11.77,3.29,0.62,10.51,5.88,1.65,0.31,3.5,1.96,0.55,0.1,0.26,0.01,1.89
2024-05-09,19:00:00,World,CONMEBOL Libertadores,Liverpool Montevideo,Palmeiras,0,5,0x5,6.65,14.37,15.51,11.17,3.66,7.91,8.54,6.15,1.01,2.18,2.35,1.69,0.19,0.4,0.43,0.31,17.25,0.02,0.21
2024-05-09,21:00:00,World,CONMEBOL Libertadores,Colo Colo,Fluminense,0,1,0x1,16.83,14.14,5.94,1.66,15.85,13.32,5.59,1.57,7.47,6.27,2.63,0.74,2.34,1.97,0.83,0.23,1.06,0.01,1.55
2024-05-09,21:00:00,World,CONMEBOL Libertadores,The Strongest,Estudiantes L.P.,1,0,1x0,5.76,5.19,2.34,0.7,11.24,10.14,4.57,1.38,10.98,9.9,4.47,1.34,7.14,6.44,2.91,0.87,1.2,0.1,13.31
2024-05-09,16:00:00,World,UEFA Europa Conference League,Olympiakos Piraeus,Aston Villa,2,0,2x0,3.15,6.61,6.94,4.85,4.28,8.99,9.43,6.6,2.91,6.11,6.41,4.48,1.32,2.77,2.9,2.03,15.56,0.41,4.26
