Date,Hour,Country,League,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW
2024-01-31,16:30,Inglaterra,Premier League,Tottenham,Brentford,3,2,3x2,7.3,6.95,3.31,1.05,12.15,11.58,5.52,1.75,10.11,9.64,4.59,1.46,5.61,5.35,2.55,0.81,1.5,0.09,8.69
2024-01-31,16:30,Inglaterra,Premier League,Manchester City,Burnley,3,1,3x1,3.52,2.58,0.95,0.23,9.21,6.75,2.47,0.6,12.03,8.82,3.23,0.79,10.47,7.68,2.81,0.69,0.51,0.09,26.55
2024-01-31,17:15,Inglaterra,Premier League,Liverpool,Chelsea,4,1,4x1,2.89,2.88,1.44,0.48,7.36,7.34,3.66,1.22,9.37,9.35,4.66,1.55,7.96,7.93,3.96,1.31,1.46,0.23,24.96
2024-01-31,16:45,Inglaterra,Championship,Sheffield Wednesday,Watford,0,0,0x0,6.87,11.48,9.58,5.33,6.93,11.57,9.66,5.37,3.49,5.83,4.87,2.71,1.17,1.96,1.64,0.91,8.74,0.1,1.8
2024-01-31,16:45,Alemanha,DFB Pokal,Hertha Berlin,FC Kaiserslautern,1,3,1x3,4.1,5.99,4.38,2.14,7.1,10.38,7.59,3.7,6.15,8.99,6.58,3.21,3.55,5.19,3.8,1.85,5.63,0.33,9.37
2024-01-31,15:00,Espanha,La Liga,Barcelona,Osasuna,1,0,1x0,1.24,2.12,1.82,1.04,3.32,5.69,4.87,2.78,4.45,7.61,6.52,3.72,3.97,6.8,5.82,3.32,7.34,1.15,26.43
2024-01-31,17:00,Espanha,La Liga,Atletico Madrid,Rayo Vallecano,2,1,2x1,16.29,11.2,3.85,0.88,18.36,12.62,4.34,0.99,10.35,7.11,2.45,0.56,3.89,2.67,0.92,0.21,0.53,0.01,2.77
2024-01-31,19:30,Brasil,Paulista - A1,Portuguesa,Ponte Preta,0,2,0x2,15.65,10.95,3.83,0.89,18.07,12.65,4.43,1.03,10.44,7.3,2.56,0.6,4.02,2.81,0.98,0.23,0.56,0.01,2.99
2024-01-31,19:30,Brasil,Paulista - A1,RB Bragantino,Palmeiras,0,1,0x1,15.41,10.48,3.56,0.81,18.34,12.47,4.24,0.96,10.91,7.42,2.52,0.57,4.33,2.94,1.0,0.23,0.51,0.01,3.28
2024-01-31,21:35,Brasil,Paulista - A1,Guarani Campinas,Mirassol,2,3,2x3,18.73,13.93,5.18,1.28,17.44,12.97,4.82,1.2,8.12,6.04,2.25,0.56,2.52,1.88,0.7,0.17,0.7,0.01,1.5
