,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_5_gte80,Probability_6_gte80,Probability_7_gte80,Probability_8_gte80,Probability_9_gte80,Probability_10_gte80
0,Reims,Lorient,,,,4.66,4.31,1.99,0.61,9.97,9.23,4.27,1.32,10.68,9.88,4.57,1.41,7.62,7.05,3.26,1.01,1.25,0.14,16.76,57.0,64.0,71.0,76.0,80.0,85.0,0,0,0,0,1,1
1,Lens,Nantes,,,,4.88,4.21,1.81,0.52,10.54,9.08,3.91,1.12,11.36,9.8,4.22,1.21,8.17,7.04,3.04,0.87,0.99,0.11,17.09,58.0,66.0,73.0,78.0,82.0,86.0,0,0,0,0,1,1
2,Bordeaux,Rodez,,,,6.73,6.06,2.73,0.82,12.1,10.9,4.91,1.47,10.88,9.8,4.41,1.32,6.52,5.87,2.64,0.79,1.22,0.09,10.73,54.0,61.0,68.0,74.0,80.0,84.0,0,0,0,0,1,1
3,Amiens,Laval,,,,18.34,14.67,5.87,1.57,16.43,13.15,5.26,1.4,7.36,5.89,2.36,0.63,2.2,1.76,0.7,0.19,0.9,0.01,1.32,70.0,76.0,82.0,87.0,89.0,92.0,0,0,1,1,1,1
4,PAU,Grenoble,,,,16.5,17.46,9.23,3.26,12.28,12.98,6.87,2.42,4.56,4.83,2.55,0.9,1.13,1.2,0.63,0.22,2.26,0.01,0.69,68.0,75.0,80.0,85.0,88.0,91.0,0,0,1,1,1,1
5,Bastia,Guingamp,,,,17.43,16.3,7.62,2.38,14.15,13.23,6.19,1.93,5.74,5.37,2.51,0.78,1.55,1.45,0.68,0.21,1.51,0.01,0.94,69.0,75.0,81.0,86.0,89.0,91.0,0,0,1,1,1,1
6,Auxerre,Dunkerque,,,,3.66,2.87,1.12,0.29,9.25,7.24,2.83,0.74,11.67,9.13,3.58,0.93,9.82,7.68,3.01,0.78,0.65,0.11,24.62,64.0,72.0,79.0,83.0,87.0,90.0,0,0,0,1,1,1
7,Valenciennes,Caen,,,,16.64,16.64,8.32,2.77,13.2,13.2,6.6,2.2,5.24,5.24,2.62,0.87,1.38,1.38,0.69,0.23,1.88,0.01,0.87,68.0,75.0,80.0,85.0,88.0,90.0,0,0,1,1,1,1
8,Paris FC,Estac Troyes,,,,6.77,7.62,4.29,1.61,10.6,11.94,6.72,2.52,8.31,9.36,5.27,1.98,4.34,4.89,2.75,1.03,2.6,0.12,7.28,48.0,55.0,62.0,69.0,74.0,79.0,0,0,0,0,0,0
9,Concarneau,Ajaccio,,,,19.45,17.1,7.52,2.2,14.74,12.96,5.7,1.67,5.59,4.91,2.16,0.63,1.41,1.24,0.55,0.16,1.24,0.01,0.75,72.0,77.0,83.0,88.0,90.0,92.0,0,0,1,1,1,1
10,Quevilly,Annecy,,,,12.06,11.16,5.16,1.59,14.35,13.28,6.15,1.9,8.54,7.9,3.66,1.13,3.39,3.13,1.45,0.45,1.43,0.03,3.25,59.0,67.0,73.0,79.0,82.0,86.0,0,0,0,0,1,1
11,Palmeiras,Bahia,,,,7.3,6.45,2.85,0.84,12.65,11.19,4.95,1.46,10.96,9.69,4.29,1.26,6.33,5.6,2.48,0.73,1.16,0.07,9.73,54.0,62.0,68.0,74.0,80.0,85.0,0,0,0,0,1,1
12,America Mineiro,Gremio,,,,3.59,7.02,6.86,4.47,4.92,9.63,9.41,6.14,3.38,6.6,6.46,4.21,1.54,3.02,2.95,1.92,13.01,0.36,4.5,46.0,53.0,59.0,65.0,70.0,75.0,0,0,0,0,0,0
13,Atletico-MG,Fluminense,,,,9.02,8.65,4.14,1.32,13.06,12.51,6.0,1.92,9.45,9.05,4.34,1.39,4.56,4.37,2.09,0.67,1.57,0.06,5.84,53.0,62.0,68.0,74.0,78.0,83.0,0,0,0,0,0,1
14,Chapecoense-sc,Tombense,,,,22.52,13.6,4.11,0.83,19.97,12.06,3.64,0.73,8.85,5.35,1.62,0.33,2.62,1.58,0.48,0.1,0.34,0.01,1.28,77.0,82.0,86.0,90.0,93.0,94.0,0,1,1,1,1,1
15,Criciuma,Sampaio Correa,,,,25.39,7.79,1.19,0.12,27.02,8.29,1.27,0.13,14.38,4.41,0.68,0.07,5.1,1.56,0.24,0.02,0.03,0.01,2.32,83.0,88.0,92.0,95.0,96.0,98.0,1,1,1,1,1,1
16,Ituano,Mirassol,,,,12.34,13.64,7.54,2.78,12.17,13.46,7.44,2.74,6.01,6.64,3.67,1.35,1.98,2.18,1.21,0.45,2.58,0.03,1.78,59.0,67.0,73.0,79.0,83.0,86.0,0,0,0,0,1,1
17,Vila Nova,Atletico Goianiense,,,,17.43,11.34,3.69,0.8,19.11,12.43,4.04,0.88,10.48,6.82,2.22,0.48,3.83,2.49,0.81,0.18,0.44,0.01,2.54,71.0,78.0,82.0,85.0,89.0,92.0,0,0,1,1,1,1
18,Portimonense,Estoril,,,,9.45,10.51,5.84,2.16,11.79,13.11,7.28,2.7,7.36,8.17,4.54,1.68,3.06,3.4,1.89,0.7,2.57,0.06,3.72,53.0,60.0,68.0,74.0,78.0,82.0,0,0,0,0,0,1
19,Guimaraes,Chaves,,,,5.47,4.6,1.93,0.54,11.29,9.5,3.99,1.12,11.66,9.81,4.12,1.16,8.03,6.75,2.84,0.8,0.93,0.09,15.37,58.0,66.0,72.0,78.0,82.0,87.0,0,0,0,0,1,1
20,Benfica,Casa Pia,,,,2.92,1.03,0.18,0.02,9.28,3.27,0.58,0.07,14.76,5.21,0.92,0.11,15.66,5.53,0.98,0.11,0.03,0.01,39.29,85.0,90.0,93.0,96.0,97.0,98.0,1,1,1,1,1,1
21,GIL Vicente,SC Braga,,,,2.97,6.41,6.92,4.97,4.04,8.71,9.4,6.76,2.74,5.92,6.38,4.59,1.24,2.68,2.89,2.08,16.65,0.43,4.22,48.0,55.0,61.0,67.0,72.0,77.0,0,0,0,0,0,0
22,Heerenveen,Heracles,,,,4.09,5.81,4.13,1.95,7.26,10.32,7.33,3.47,6.45,9.16,6.51,3.08,3.82,5.42,3.85,1.82,5.14,0.32,10.05,44.0,51.0,57.0,63.0,68.0,73.0,0,0,0,0,0,0
23,Almere City FC,GO Ahead Eagles,,,,6.75,9.0,6.0,2.67,9.19,12.26,8.18,3.64,6.26,8.35,5.57,2.48,2.84,3.79,2.53,1.12,4.47,0.14,4.77,47.0,54.0,60.0,66.0,72.0,76.0,0,0,0,0,0,0
24,Sparta Rotterdam,Waalwijk,,,,5.14,5.71,3.17,1.17,9.54,10.6,5.89,2.18,8.86,9.85,5.47,2.03,5.49,6.1,3.39,1.25,2.39,0.18,11.59,50.0,57.0,62.0,68.0,74.0,79.0,0,0,0,0,0,0
25,Fortuna Sittard,Utrecht,,,,5.71,7.86,5.41,2.48,8.49,11.68,8.04,3.69,6.31,8.68,5.98,2.74,3.13,4.3,2.96,1.36,4.85,0.19,6.14,45.0,51.0,57.0,63.0,69.0,74.0,0,0,0,0,0,0
26,IF Brommapojkarna,Djurgardens IF,,,,9.7,12.56,8.13,3.51,10.07,13.04,8.44,3.64,5.23,6.77,4.38,1.89,1.81,2.34,1.52,0.65,4.19,0.06,2.07,54.0,62.0,69.0,74.0,78.0,83.0,0,0,0,0,0,1
27,Varbergs BoIS FC,Degerfors IF,,,,10.16,12.29,7.44,3.0,10.94,13.24,8.01,3.23,5.89,7.13,4.31,1.74,2.11,2.56,1.55,0.62,3.4,0.05,2.34,55.0,62.0,69.0,75.0,79.0,83.0,0,0,0,0,0,1
28,gefle IF,Landskrona BoIS,,,,4.67,6.85,5.03,2.46,7.46,10.94,8.03,3.93,5.95,8.74,6.41,3.13,3.17,4.65,3.41,1.67,5.78,0.27,7.47,43.0,49.0,56.0,62.0,68.0,73.0,0,0,0,0,0,0
29,AFC Eskilstuna,Jonkopings Sodra,,,,8.56,9.25,5.0,1.8,11.79,12.74,6.89,2.48,8.12,8.78,4.74,1.71,3.73,4.03,2.18,0.78,2.33,0.08,5.03,51.0,59.0,66.0,71.0,76.0,81.0,0,0,0,0,0,1
30,trelleborgs FF,Helsingborg,,,,6.27,9.96,7.92,4.19,7.4,11.76,9.34,4.95,4.37,6.94,5.52,2.92,1.72,2.73,2.17,1.15,7.55,0.15,3.0,47.0,54.0,61.0,67.0,73.0,78.0,0,0,0,0,0,0
31,Ostersunds FK,Orebro SK,,,,2.73,3.41,2.12,0.88,6.43,8.01,5.0,2.08,7.56,9.43,5.88,2.45,5.93,7.4,4.61,1.92,3.12,0.4,20.64,53.0,59.0,65.0,71.0,76.0,81.0,0,0,0,0,0,1
32,FC Copenhagen,Hvidovre,,,,1.78,0.66,0.12,0.02,6.51,2.42,0.45,0.06,11.91,4.43,0.82,0.1,14.51,5.39,1.0,0.12,0.03,0.01,49.51,88.0,92.0,95.0,96.0,97.0,98.0,1,1,1,1,1,1
33,Kolding IF,Aalborg,,,,4.69,8.71,8.09,5.01,5.64,10.47,9.73,6.02,3.39,6.3,5.85,3.62,1.36,2.52,2.34,1.45,11.52,0.22,3.06,49.0,55.0,61.0,67.0,72.0,77.0,0,0,0,0,0,0
